,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
2182,breakeven,the script,2009,"Pop-Rock,Ireland,Pop",3,2
2183,fall for you,secondhand serenade,2009,Rock,3,2
2184,according to you,orianthi,2009,"Rock,Pop-Rock",3,2
2185,american saturday night,brad paisley,2009,Country,3,2
2186,there goes my baby,charlie wilson,2009,"R&;B,Rap",2,1
2187,i wanna,the all,2009,Rock,2,1
2188,take me on the floor,the veronicas,2009,"Rock,Electronic Rock,Dance,Electro-Pop,Pop",2,1
2189,i am,mary j. blige,2009,"Soul,R&;B",2,2
2190,how low,ludacris,2009,Rap,2,2
2191,all i ask for anymore,trace adkins,2009,Country,2,1
2192,fly on the wall,miley cyrus,2009,"Electro-Pop,Rock,Pop-Rock,Pop",2,1
2193,for your entertainment,adam lambert,2009,"Pop-Rock,Glam Rock,Pop",2,1
2194,when it hurts,avant,2009,Pop,2,2
2195,daylight,matt and kim,2009,"Alternative Pop,Adult Alternative,Indie Rock,Pop,Indie Pop",2,1
2196,heartbreak warfare,john mayer,2009,Rock,2,2
2197,tonight,jonas brothers,2009,"Pop,Pop-Rock",2,2
2198,halfway gone,lifehouse,2009,Rock,2,2
2199,half of my heart,john mayer,2009,Rock,2,2
2200,favorite girl,justin bieber,2009,"Canada,Pop",2,1
2201,i wanna rock,snoop dogg,2009,Rap,2,2
2202,permanent,david cook,2009,Rock,2,1
2203,on fire,lil wayne,2009,Rap,2,1
2204,shots,lmfao,2009,Rap,2,2
2205,in my head,jason derulo,2009,"Pop,R&;B",2,2
2206,soulmate,natasha bedingfield,2009,"R&;B,Pop",2,1
2207,old time's sake,eminem,2009,Rap,2,1
2208,lifeline,papa roach,2009,Rock,2,1
2209,let me,pat green,2009,Pop,2,1
2210,lovebug,jonas brothers,2009,"Rock,Pop-Rock,Pop",2,2
2211,what about now,daughtry,2009,"Alternative,Alternative Rock,Pop,Pop-Rock,Rock",1,2
2212,down to earth,justin bieber,2009,"Canada,Pop",1,1
2213,whataya want from me,adam lambert,2009,"Ballad,Pop-Rock,Glam Rock,Pop",1,2
2214,ignorance,paramore,2009,"Alternative,Emo,Alternative Rock,Pop-Punk,Rock",1,1
2215,elevator,eminem,2009,Rap,1,1
2216,my life,the game,2009,Rap,1,2
2217,million dollar bill,whitney houston,2009,"West Coast,East Coast,Funk,Pop,Soul Pop,Soul,R&;B",1,1
2218,fearless,taylor swift,2009,"Pop Country,Country,Pop",1,3
2219,first dance,justin bieber,2009,"Canada,Pop",1,1
2220,mama's song,carrie underwood,2009,Country,1,3
2221,digital girl,jamie foxx,2009,"R&;B,Rap",1,1
2222,chillin,wale,2009,Rap,1,1
2223,note to god,charice,2009,Pop,1,1
2224,notion,kings of leon,2009,Rock,1,1
2225,vanilla twilight,owl city,2009,"Electronic,Pop",1,2
2226,catch me,demi lovato,2009,"Baroque Pop,Glam Rock,Pop-Rock,Pop,Rock",1,1
2227,careful,paramore,2009,"Pop-Punk,Emo,Alternative Rock,Rock",1,1
2228,bigger,justin bieber,2009,"Canada,Pop",1,1
2229,awake and alive,skillet,2009,"Christian Rock,Christian,Rock",1,1
2230,wild horses,susan boyle,2009,Pop,1,1
2231,anything goes,randy houser,2009,Country,1,2
2232,america's suitehearts,fall out boy,2009,"Indie,Indie Pop,Indie Rock,Pop-Rock,Alternative Pop,Alternative,Punk Rock,Alternative Rock,Pop-Punk,Emo,Rock",1,1
2233,overcome,creed,2009,Rock,1,1
2234,you don't belong,daughtry,2009,Rock,1,1
2235,panic switch,silversun pickups,2009,Rock,1,1
2236,absolute,the fray,2009,Rap,1,1
2237,fly with me,jonas brothers,2009,"Rock,Pop-Rock,Pop",1,1
2238,magnificent,u2,2009,"Adult Alternative,Ireland,Rock",1,1
2239,sex therapy,robin thicke,2009,"R&;B,Pop",1,2
2240,forever,rascal flatts,2009,Country,1,1
2241,if it kills me,jason mraz,2009,Rock,1,1
2242,i'm in,keith urban,2009,"Country,Rock",1,2
2243,i wanna know you,hannah montana,2009,"Disney,Soundtrack,Pop",1,1
2244,insane,eminem,2009,"Horrorcore,Rap",1,1
2245,i just call you mine,martina mcbride,2009,Country,1,1
2246,temporary home,carrie underwood,2009,Country,1,2
2247,i dreamed a dream,susan boyle,2009,Pop,1,1
2248,"it's alright, it's ok",ashley tisdale,2009,"Pop,Pop-Rock,Rock",1,1
2249,it's your life,francesca battistelli,2009,Pop,1,1
2250,just a dream,carrie underwood,2009,Country,1,2
2251,the invitation,50 cent,2009,Rap,1,1
2252,hot mess,cobra starship,2009,"Blues,Rock",1,2
2253,rain,creed,2009,"Adult Alternative,Pop-Rock,Country,Roots,Rock",1,2
2254,let it go,tim mcgraw,2009,"Country,Rock",1,2
2255,hell breaks loose,eminem,2009,"Horrorcore,Rap",1,1
2256,this is war,thirty seconds to mars,2009,Rock,1,1
2257,time for miracles,adam lambert,2009,"Pop-Rock,Glam Rock,Pop",1,1
2258,shining down,lupe fiasco,2009,Rap,1,1
2259,too many rappers,beastie boys,2009,Rap,1,1
2260,twang,george strait,2009,"Country,Rock",1,1
2261,good life,onerepublic,2009,"Pop,Adult Alternative,Adult Contemporary,Pop-Rock,Rock",1,2
2262,go hard,dj khaled,2009,Rap,1,2
2263,undo it,carrie underwood,2009,Country,1,2
2264,unstoppable,rascal flatts,2009,"Country,Rock",1,2
2265,speechless,lady gaga,2009,"Pop,Rock,Glam Rock",1,1
2266,hold up my heart,brooke white,2009,Pop,1,1
2267,need you now,lady antebellum,2010,Country,41,2
2268,breakeven,the script,2010,"Pop-Rock,Ireland,Pop",40,2
2269,haven't met you yet,michael buble,2010,"Jazz,Pop",32,2
2270,in my head,jason derulo,2010,"Pop,R&;B",32,2
2271,i like it,enrique iglesias,2010,"Electro-Pop,Pop",32,2
2272,break your heart,taio cruz,2010,"Pop,Rap",29,1
2273,telephone,lady gaga,2010,"Synth-Pop,Electronic,Electro-Pop,Dance-Pop,Pop",29,2
2274,dynamite,taio cruz,2010,"Electro-Pop,Pop",29,2
2275,animal,neon trees,2010,"Adult Alternative,Adult Contemporary,Alternative Dance,Alternative Rock,New Wave,Pop-Rock,Pop,Rock",29,2
2276,cooler than me,mike posner,2010,"Electro-Pop,Pop",29,1
2277,whataya want from me,adam lambert,2010,"Ballad,Pop-Rock,Glam Rock,Pop",29,2
2278,ridin' solo,jason derulo,2010,"Pop,R&;B",28,1
2279,i gotta feeling,the black eyed peas,2010,Rap,28,2
2280,bulletproof,la roux,2010,"New Wave,Electronica,Electro-Pop,Synth-Pop,Pop",27,1
2281,california gurls,katy perry,2010,"Dance-Pop,Funk-Pop,Disco,Pop",27,1
2282,bad romance,lady gaga,2010,"Electronic,Synth-Pop,Electro-Pop,Dance-Pop,Pop",26,3
2283,secrets,onerepublic,2010,"Classical Music,Adult Alternative,Adult Contemporary,Ballad,Pop-Rock,Baroque Pop,Classical Crossover,Pop,Rock",26,2
2284,love the way you lie,eminem,2010,"Ballad,Pop,Rap",26,2
2285,there goes my baby,usher,2010,"Producer,R&;B,Pop",25,1
2286,not afraid,eminem,2010,"Soundtrack,Pop,Rap",25,1
2287,all i do is win,dj khaled,2010,"West Coast,R&;B,Pop,Rap",24,1
2288,if i die young,the band perry,2010,Country,24,2
2289,imma be,the black eyed peas,2010,"Pop,Rap",24,2
2290,alejandro,lady gaga,2010,"Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",23,1
2291,all the right moves,onerepublic,2010,"Pop,Pop-Rock,Rock",23,2
2292,teenage dream,katy perry,2010,"Bubblegum Pop,Teen Pop,Dance-Pop,Power Pop,Electro-Pop,Pop",22,2
2293,rude boy,rihanna,2010,"Dancehall,Reggae,Rap,R&;B,Pop",22,1
2294,just the way you are,bruno mars,2010,"Ballad,Adult Contemporary,Soul Pop,Soul,R&;B,Pop",22,2
2295,king of anything,sara bareilles,2010,"Pop-Rock,Piano,Indie Pop,Pop,Rock",22,1
2296,stuck like glue,sugarland,2010,"Pop Country,Country,Rock",21,2
2297,find your love,drake,2010,"R&;B,Canada,Rap",21,1
2298,live like we're dying,kris allen,2010,"Adult Alternative,Adult Contemporary,Alternative Rock,Christian,Pop-Rock,Rock,Pop",21,2
2299,farmer's daughter,rodney atkins,2010,Country,21,1
2300,love like crazy,lee brice,2010,"Country,Rock",20,1
2301,i never told you,colbie caillat,2010,Rock,20,1
2302,little white church,little big town,2010,"Country,Rock",20,1
2303,if i had you,adam lambert,2010,"Electronic,Electronic Pop,Dance,Pop",20,1
2304,drop the world,lil wayne,2010,Rap,20,1
2305,hillbilly bone,blake shelton,2010,Country,20,1
2306,highway 20 ride,zac brown band,2010,"Country,Rock",20,1
2307,got your back,t.i.,2010,Rap,20,1
2308,fancy,drake,2010,"Atlanta,Canada,Producer,Rap",20,1
2309,gimmie that girl,joe nichols,2010,Country,20,1
2310,come back song,darius rucker,2010,"Country,Rock",20,1
2311,your love,nicki minaj,2010,"Pop,Rap",20,1
2312,"lover, lover",jerrod niemann,2010,"Country,Rock",20,1
2313,baby,justin bieber,2010,"Memes,Dance-Pop,Dance,Electronic,Electro-Pop,Canada,Rap,Pop",20,1
2314,a little more country than that,easton corbin,2010,Country,20,1
2315,this afternoon,nickelback,2010,"Country,Pop-Rock,Rock",20,1
2316,the only exception,paramore,2010,"Pop-Rock,Adult Contemporary,Adult Alternative,Easy Listening,Alternative,Acoustic,Ballad,Pop-Punk,Rock",20,1
2317,the man i want to be,chris young,2010,Country,20,1
2318,the house that built me,miranda lambert,2010,"Country,Rock",20,1
2319,american honey,lady antebellum,2010,"Country,Rock",20,1
2320,teach me how to dougie,cali swag district,2010,Rap,20,1
2321,mine,taylor swift,2010,"Pop Country,Power Pop,Country,Pop",20,2
2322,september,daughtry,2010,Rock,20,1
2323,ride,ciara,2010,"R&;B,Rap",20,1
2324,rain is a good thing,luke bryan,2010,Country,20,1
2325,pretty good at drinkin' beer,billy currington,2010,"Country,Rock",20,1
2326,over,drake,2010,"Canada,Rap",20,1
2327,our kind of love,lady antebellum,2010,"Pop,Country",20,1
2328,neighbors know my name,trey songz,2010,R&;B,20,1
2329,my chick bad,ludacris,2010,Rap,20,1
2330,miss me,drake,2010,"Alternative R&;B,R&;B,Canada,Rap",20,1
2331,misery,maroon 5,2010,"Adult Alternative,Adult Contemporary,Funk Rock,Pop-Rock,Rock,Pop",20,1
2332,roll with it,easton corbin,2010,Country,19,1
2333,temporary home,carrie underwood,2010,Country,19,2
2334,how low,ludacris,2010,Rap,19,2
2335,undo it,carrie underwood,2010,Country,19,2
2336,water,brad paisley,2010,Country,19,1
2337,free,zac brown band,2010,"Country,Rock",19,1
2338,love like woe,the ready set,2010,"Pop,Synth-Pop",19,2
2339,all about tonight,blake shelton,2010,"Country,Rock",19,1
2340,halfway gone,lifehouse,2010,Rock,18,2
2341,everything to me,monica,2010,"Soul,R&;B",18,1
2342,half of my heart,john mayer,2010,Rock,18,2
2343,heartbreak warfare,john mayer,2010,Rock,18,2
2344,why wait,rascal flatts,2010,"Country,Rock",18,2
2345,right above it,lil wayne,2010,Rap,18,2
2346,rock that body,the black eyed peas,2010,Rap,18,1
2347,all over me,josh turner,2010,"Country,Rock",18,1
2348,sex therapy,robin thicke,2010,"R&;B,Pop",18,2
2349,according to you,orianthi,2010,"Rock,Pop-Rock",18,2
2350,she won't be lonely long,clay walker,2010,Country,18,1
2351,glitter in the air,p!nk,2010,"R&;B,Pop",18,1
2352,i am,mary j. blige,2010,"Soul,R&;B",18,2
2353,somebody to love,justin bieber,2010,"R&;B,Canada,Pop",18,1
2354,love all over me,monica,2010,"R&;B,Pop",17,1
2355,life after you,daughtry,2010,Rock,17,2
2356,unstoppable,rascal flatts,2010,"Country,Rock",17,2
2357,the breath you take,george strait,2010,"Country,Rock",16,2
2358,anything like me,brad paisley,2010,"Country,Rock",16,2
2359,shots,lmfao,2010,Rap,16,2
2360,"beamer, benz, or bentley",lloyd banks,2010,Rap,16,1
2361,no love,eminem,2010,"Pop,Rap",16,2
2362,that's how country boys roll,billy currington,2010,"Country,Rock",16,2
2363,only prettier,miranda lambert,2010,"Country,News",16,2
2364,i'm in,keith urban,2010,"Country,Rock",15,2
2365,hard,rihanna,2010,"Trap,Rap",15,2
2366,you belong with me,taylor swift,2010,"Pop Country,Country,Pop",15,3
2367,try sleeping with a broken heart,alicia keys,2010,"R&;B,Soul,Soul Pop,Pop",15,2
2368,someday,rob thomas,2010,Pop,15,2
2369,it kills me,melanie fiona,2010,Pop,15,2
2370,dog days are over,florence + the machine,2010,"Alternative Rock,Alternative,Indie Pop,Indie Rock,Art Pop,Art Rock,Rock",14,2
2371,can't be friends,trey songz,2010,"Soul,Neo Soul,R&;B",14,2
2372,turn on the radio,reba,2010,Country,14,2
2373,just breathe,pearl jam,2010,"Adult Alternative,Acoustic,Ballad,Rock",14,1
2374,why don't we just dance,josh turner,2010,"Country,Rock",14,2
2375,please don't go,mike posner,2010,"Electro-Pop,Pop",13,2
2376,backwoods,justin moore,2010,"Country,Rock",13,1
2377,i wanna rock,snoop dogg,2010,Rap,13,2
2378,whatcha say,jason derulo,2010,"Pop,R&;B",13,2
2379,when i look at you,miley cyrus,2010,Pop,13,1
2380,this ain't nothin',craig morgan,2010,Pop,13,1
2381,fireflies,owl city,2010,"Synth-Pop,Electronic,Memes,Pop",13,2
2382,smile,uncle kracker,2010,"Country,Rock",13,2
2383,put you in a song,keith urban,2010,"Country,Rock",12,2
2384,jar of hearts,christina perri,2010,"Pop-Rock,Rock,Pop",12,2
2385,right thru me,nicki minaj,2010,"R&;B,Rap",12,2
2386,if you only knew,shinedown,2010,Rock,12,2
2387,bittersweet,fantasia,2010,R&;B,12,1
2388,mama's song,carrie underwood,2010,Country,12,3
2389,history in the making,darius rucker,2010,"Country,Rock",12,2
2390,all the way turnt up,roscoe dash,2010,Rap,12,1
2391,two is better than one,boys like girls,2010,"Pop Country,Pop-Rock,Pop-Punk,Ballad,Country,Pop",12,2
2392,aston martin music,rick ross,2010,"Canada,Rap",12,2
2393,american saturday night,brad paisley,2010,Country,12,2
2394,grenade,bruno mars,2010,"Piano,Soul Pop,Soul,Ballad,Adult Contemporary,R&;B,Pop",12,2
2395,loca,shakira,2010,"Latin Pop,Merengue,Pop",11,1
2396,sex room,ludacris,2010,"R&;B,Rap",11,1
2397,waiting for the end,linkin park,2010,"Alternative,Alternative Rock,Electronic Rock,Rock,Rap",11,2
2398,shut it down,pitbull,2010,Rap,11,2
2399,soldier of love,sade,2010,"Soul Pop,Rock,Soul,Pop,R&;B",11,1
2400,black and yellow,wiz khalifa,2010,"Pop,Rap",11,2
2401,meet me halfway,the black eyed peas,2010,"Pop,New Wave,Dance-Pop",10,2
2402,already gone,kelly clarkson,2010,"R&;B,Pop",10,2
2403,white liar,miranda lambert,2010,"Country,News",10,2
2404,can't be tamed,miley cyrus,2010,"Pop-Punk,Pop-Rock,Electronic,Dance-Pop,Electro-Pop,Pop",10,1
2405,paparazzi,lady gaga,2010,"Dance-Pop,Pop",10,2
2406,use somebody,kings of leon,2010,"Pop-Rock,Pop,Rock",10,3
2407,the catalyst,linkin park,2010,"Nu-Metal,Alternative Rock,Electronic Rock,Electronic,Rock",10,1
2408,1901,phoenix,2010,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",10,2
2409,gangsta luv,snoop dogg,2010,Rap,10,2
2410,fearless,taylor swift,2010,"Pop Country,Country,Pop",10,3
2411,what's my name?,rihanna,2010,"Rap,R&;B,Pop",9,2
2412,southern voice,tim mcgraw,2010,"Country,Rock",9,2
2413,never gonna be alone,nickelback,2010,"Ballad,Acoustic,Pop-Rock,Rock",9,3
2414,way out here,josh thompson,2010,Pop,9,1
2415,lay it down,lloyd,2010,"R&;B,Rap",9,2
2416,beautiful monster,ne,2010,"R&;B,Rock",9,1
2417,firework,katy perry,2010,"Adult Contemporary,Dance-Pop,Rock,Pop",9,2
2418,party in the u.s.a.,miley cyrus,2010,Pop,9,2
2419,back to december,taylor swift,2010,"Baroque Pop,Country",8,2
2420,champagne life,ne,2010,"R&;B,Rock",8,1
2421,i wanna make you close your eyes,dierks bentley,2010,Country,8,2
2422,not myself tonight,christina aguilera,2010,"Dance-Pop,Electro-Pop,Pop",8,1
2423,someone else calling you baby,luke bryan,2010,"Country,Rock",8,2
2424,bullets in the gun,toby keith,2010,"Country,Rock",7,2
2425,somewhere with you,kenny chesney,2010,"Country,Rock",7,2
2426,sweet dreams,beyonce,2010,"R&;B,Pop",7,2
2427,one in a million,ne,2010,R&;B,7,1
2428,felt good on my lips,tim mcgraw,2010,"Country,Rock",7,2
2429,voices,chris young,2010,Country,7,2
2430,consider me gone,reba,2010,Country,7,2
2431,who are you when i'm not looking,blake shelton,2010,"Country,Rock",7,2
2432,fallin' for you,colbie caillat,2010,Pop,6,2
2433,hello world,lady antebellum,2010,"Pop,Country",6,2
2434,the man who can't be moved,the script,2010,"Pop-Rock,Pop,Ireland,Rock",6,1
2435,all i ever wanted,kelly clarkson,2010,"Pop-Rock,Pop",6,1
2436,this ain't no love song,trace adkins,2010,Country,6,1
2437,one day,matisyahu,2010,"Ballad,Rock,Adult Alternative,Pop-Rock,Pop,Reggae",6,1
2438,eight second ride,jake owen,2010,"Country,R&;B,Rock",6,2
2439,shark in the water,v v brown,2010,Rap,6,1
2440,make a movie,twista,2010,"R&;B,Rap",6,2
2441,down on me,jeremih,2010,"R&;B,Rap",6,2
2442,one less lonely girl,justin bieber,2010,"Canada,Pop",6,2
2443,cowboy casanova,carrie underwood,2010,Country,6,2
2444,set the fire to the third bar,snow patrol,2010,Rock,5,1
2445,rockstar 101,rihanna,2010,"Rock,Pop",5,1
2446,russian roulette,rihanna,2010,"Soul Pop,Neo Soul,Synth-Pop,R&;B,Pop",5,2
2447,uprising,muse,2010,"Soundtrack,Alternative Rock,Progressive Rock,Art Rock,Rock",5,2
2448,give me a sign,breaking benjamin,2010,"Post-Grunge,Alternative Metal,Rock",5,1
2449,cuando me enamoro,enrique iglesias,2010,"Polska,Em Portugu\xc3\xaas,En Espa\xc3\xb1ol,Pop",5,1
2450,fifteen,taylor swift,2010,"Pop Country,Country,Pop",5,3
2451,break,three days grace,2010,"Alternative Rock,Rock",5,2
2452,knockout,lil wayne,2010,"Rock,Pop-Punk,Punk Rock,Rap",5,1
2453,pretty girl rock,keri hilson,2010,"R&;B,Rap",4,2
2454,i will not bow,breaking benjamin,2010,"Post-Grunge,Alternative Metal,Alternative Rock,Rock",4,2
2455,do i,luke bryan,2010,"Country,Rock",4,2
2456,double vision,3oh!3,2010,"Dance-Pop,Pop",4,1
2457,vanilla twilight,owl city,2010,"Electronic,Pop",4,2
2458,hot mess,cobra starship,2010,"Blues,Rock",4,2
2459,fistful of tears,maxwell,2010,"Soul,R&;B",4,1
2460,ain't leavin without you,jaheim,2010,R&;B,4,1
2461,strip me,natasha bedingfield,2010,Pop,4,1
2462,let me down easy,billy currington,2010,"Country,Rock",4,2
2463,mockingbird,rob thomas,2010,Pop,4,1
2464,trailerhood,toby keith,2010,"Country,Rock",4,1
2465,you and your heart,jack johnson,2010,"Piano,Singer-Songwriter,Pop-Rock,Adult Alternative,Folk Rock,Rock",4,1
2466,maybe,sick puppies,2010,Rock,4,2
2467,rocketeer,far*east movement,2010,"Electro-Pop,Electronic,Electro-Hop,Pop,Rap",3,2
2468,speak now,taylor swift,2010,"Country,Pop",3,1
2469,marry you,bruno mars,2010,Pop,3,2
2470,gonorrhea,lil wayne,2010,Rap,3,1
2471,gypsy,shakira,2010,"Folk,Pop",3,1
2472,body language,jesse mccartney,2010,Pop,3,2
2473,one time,justin bieber,2010,"Canada,Pop",3,2
2474,red light,david nail,2010,Pop,3,2
2475,window seat,erykah badu,2010,"Neo Soul,Soul,R&;B",3,1
2476,up all night,drake,2010,"Canada,Rap",2,1
2477,ordinary girl,hannah montana,2010,"Disney,Soundtrack,Pop",2,1
2478,yeah ya know,t.i.,2010,Rap,2,1
2479,fall for your type,jamie foxx,2010,"R&;B,Rap",2,2
2480,didn't you know how much i loved you,kellie pickler,2010,"Country,Rock",2,1
2481,hey,lil jon,2010,Rap,2,1
2482,woohoo,christina aguilera,2010,"Electro,Dancehall,Pop",2,1
2483,u smile,justin bieber,2010,"Canada,Pop",2,2
2484,rain,creed,2010,"Adult Alternative,Pop-Rock,Country,Roots,Rock",2,2
2485,sparks fly,taylor swift,2010,"Pop-Rock,Country,Pop",2,2
2486,the show goes on,lupe fiasco,2010,Rap,2,2
2487,funhouse,p!nk,2010,"Funk,Pop,Rock",2,2
2488,what if,jason derulo,2010,"Pop,R&;B",2,1
2489,never let you go,justin bieber,2010,"R&;B,Canada,Pop",2,1
2490,cold wind blows,eminem,2010,Rap,1,1
2491,give a little more,maroon 5,2010,Pop,1,1
2492,the story of us,taylor swift,2010,"Pop-Punk,Pop-Rock,Country,Pop",1,2
2493,little miss,sugarland,2010,"Country,Rock",1,2
2494,what's wrong with them,lil wayne,2010,Rap,1,1
2495,this,darius rucker,2010,"Country,Rock",1,2
2496,you be killin em,fabolous,2010,Rap,1,2
2497,25 to life,eminem,2010,Rap,1,1
2498,gonna get this,hannah montana,2010,"Disney,Soundtrack,Pop",1,1
2499,tighten up,the black keys,2010,"Grunge,Blues Rock,Alternative Rock,Alternative,Rock",1,2
2500,when a woman loves,r. kelly,2010,"Soul Pop,Soul,Pop,R&;B",1,1
2501,for the first time,the script,2010,"Ireland,Rock",1,2
2502,marijuana,kid cudi,2010,"R&;B,Rap",1,1
2503,won't back down,eminem,2010,"Rock,Rap",1,1
2504,love this pain,lady antebellum,2010,"Pop,Country",1,1
2505,what do you want,jerrod niemann,2010,"Country,Rock",1,2
2506,love me,justin bieber,2010,"Dance,Dance-Pop,Canada,Rap,Electronic,Pop",1,2
2507,fireworks,drake,2010,"Canada,Rap",1,1
2508,gettin' you home,chris young,2010,Country,1,2
2509,fly,nicki minaj,2010,"R&;B,Rap",1,3
2510,all or nothing,theory of a deadman,2010,Rock,1,1
2511,6 foot 7 foot,lil wayne,2010,"Hip-Hop,Producer,Memes,Rap",1,2
2512,up on the ridge,dierks bentley,2010,"Country,Rock",1,1
2513,up out my face,mariah carey,2010,"R&;B,Pop",1,1
2514,circle the drain,katy perry,2010,"Gothic Rock,Pop",1,1
2515,long live,taylor swift,2010,"Power Pop,Rock,Country",1,1
2516,get back up,t.i.,2010,Rap,1,1
2517,video phone,beyonce,2010,"Crunk,R&;B,Pop",1,2
2518,like we used to,a rocket to the moon,2010,Rock,1,1
2519,last kiss,taylor swift,2010,"Country,Pop",1,1
2520,mean,taylor swift,2010,"Bluegrass,Country",1,2
2521,better than revenge,taylor swift,2010,"Alternative Rock,Pop-Punk,Pop-Rock,Country",1,1
2522,bonfire,craig morgan,2010,Pop,1,2
2523,never grow up,taylor swift,2010,"Country,Pop",1,1
2524,scott mescudi vs. the world,kid cudi,2010,"R&;B,Rap",1,1
2525,roman's revenge,nicki minaj,2010,Rap,1,2
2526,rolling in the deep,adele,2010,"Pop,Blues,Adult Alternative,Adult Contemporary,Blue-Eyed Soul,Soul",1,3
2527,i won't let go,rascal flatts,2010,"Country,Rock",1,2
2528,i'm single,lil wayne,2010,Rap,1,1
2529,don't let me fall,b.o.b,2010,Rap,1,1
2530,not like the movies,katy perry,2010,"Dance-Pop,Pop",1,1
2531,ready to love again,lady antebellum,2010,"Pop,Country",1,1
2532,leave right now,will young,2010,Pop,1,1
2533,bill gates,lil wayne,2010,Rap,1,1
2534,dirty picture,taio cruz,2010,Pop,1,1
2535,bionic,christina aguilera,2010,"Dance,Electronic,Pop",1,1
2536,innocent,taylor swift,2010,"Country,Pop",1,1
2537,oh santa!,mariah carey,2010,"Christmas,Holiday,R&;B,Pop",1,1
2538,dear john,taylor swift,2010,"Rock,Country,Pop",1,1
2539,outta your mind,lil jon,2010,Rap,1,1
2540,kings and queens,thirty seconds to mars,2010,"Alternative Rock,Alternative,Rock",1,2
2541,ooh baby,mario,2010,"R&;B,Rap",1,1
2542,my best days are ahead of me,danny gokey,2010,Pop,1,1
2543,liv tonight,nelly,2010,Pop,1,1
2544,i can do anything,3oh!3,2010,Rap,1,1
2545,i am not a human being,lil wayne,2010,Rap,1,1
2546,the lazy song,bruno mars,2010,"Pop-Rock,R&;B,Pop",1,2
2547,the crow & the butterfly,shinedown,2010,Rock,1,1
2548,halfway there,big time rush,2010,"Pop,West Coast,Electro-Pop,Dance-Pop,Boy Band",1,1
2549,hallelujah,k.d. lang,2010,Pop,1,1
2550,haunted,taylor swift,2010,"Pop-Rock,Country,Pop",1,2
2551,that should be me,justin bieber,2010,"Canada,Pop",1,1
2552,finding my way back,jaheim,2010,R&;B,1,1
2553,another way to die,disturbed,2010,"Heavy Metal,Nu-Metal,Rock",1,1
2554,super high,rick ross,2010,Rap,1,1
2555,stutter,maroon 5,2010,Pop,1,1
2556,are you gonna kiss me or not,thompson square,2010,Country,1,2
2557,still,tim mcgraw,2010,"Country,Rock",1,1
2558,stay,miley cyrus,2010,Pop,1,1
2559,moment 4 life,nicki minaj,2010,"Hip-Hop,Rap",1,2
2560,move that body,nelly,2010,"Synth-Pop,Rap",1,1
2561,mr. rager,kid cudi,2010,"R&;B,Rap",1,1
2562,enchanted,taylor swift,2010,"Pop-Rock,Country",1,1
2563,music box,eminem,2010,"Horrorcore,Rap",1,1
2564,hurry home,jason michael carroll,2010,Pop,1,1
2565,e.t.,katy perry,2010,"Remix,Hip-Hop,Electronic,Rap,Pop",1,2
2566,this love,maroon 5,2004,"Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",43,1
2567,if i ain't got you,alicia keys,2004,R&;B,40,1
2568,my immortal,evanescence,2004,"Acoustic,Piano,Baroque Pop,Adult Contemporary,Pop-Rock,Ballad,Rock",32,1
2569,here without you,3 doors down,2004,"Post-Grunge,Rock",31,2
2570,someday,nickelback,2004,"Ballad,Hard Rock,Pop-Rock,Alternative Rock,Post-Grunge,Rock",30,2
2571,heaven,los lonely boys,2004,Rock,29,1
2572,goodies,ciara,2004,"R&;B,Rap",28,2
2573,slow motion,juvenile,2004,Rap,28,1
2574,locked up,akon,2004,"R&;B,Rap",27,1
2575,meant to live,switchfoot,2004,"Christian Rock,Christian,Post-Grunge,Alternative,Alternative Rock,Rock",27,1
2576,white flag,dido,2004,"Trip-Hop,Pop,Rock",25,2
2577,turn me on,kevin lyttle,2004,Pop,25,1
2578,i'm still in love with you,sean paul,2004,"Jamaica,Reggae,Dancehall,Rap",24,2
2579,one thing,finger eleven,2004,Rock,23,2
2580,she will be loved,maroon 5,2004,"Ballad,Adult Alternative,Adult Contemporary,Pop-Rock,Rock,Pop",23,2
2581,my happy ending,avril lavigne,2004,"Pop,Canada,Rock",23,2
2582,on the way down,ryan cabrera,2004,Pop,23,2
2583,naughty girl,beyonce,2004,"R&;B,Pop",22,1
2584,are you gonna be my girl,jet,2004,"Alternative Rock,Pop-Rock,Rock",22,2
2585,numb,linkin park,2004,"Alternative Rock,Nu-Metal,Rock",22,3
2586,roses,outkast,2004,"Atlanta,Dirty South,Hip-Hop,R&;B,Pop,Rap",21,1
2587,cold,crossfade,2004,"Post-Grunge,Nu-Metal,Metal,Alternative Metal,Rock",21,2
2588,pieces of me,ashlee simpson,2004,"Pop,Pop-Rock",21,1
2589,with you,jessica simpson,2004,Pop,21,2
2590,float on,modest mouse,2004,"Adult Alternative,Alternative Rock,Rock",20,1
2591,one call away,chingy,2004,Rap,20,1
2592,hey mama,the black eyed peas,2004,"Dancehall,Hip-Hop,Rap",20,1
2593,knuck if you buck,crime mob,2004,Rap,20,1
2594,overnight celebrity,twista,2004,"Gaming,Rap",20,1
2595,redneck woman,gretchen wilson,2004,Country,20,1
