,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
130,light,big sean,2017,Rap,1,1
131,hearts don't break around here,ed sheeran,2017,"UK,Pop",1,1
132,wins & losses,meek mill,2017,Rap,1,1
133,hard times,paramore,2017,"Adult Alternative,Synth-Pop,New Wave,Alternative Pop,Electronic Rock,Pop-Rock,Rock,Pop",1,1
134,halfway off the balcony,big sean,2017,Rap,1,1
135,jump out the window,big sean,2017,"Trap,Rap",1,1
136,younger now,miley cyrus,2017,"Electronic Rock,Electro-Pop,Electronic,Pop-Rock,Alternative,Alternative Pop,Pop",1,1
137,tin man,miranda lambert,2017,Country,1,1
138,new man,ed sheeran,2017,"UK,Pop",1,1
139,in the end,linkin park,2017,"Alternative Metal,Alternative Rock,Metal,Hard Rock,Rap Rock,Nu-Metal,Rap,Rock",1,3
140,bad romance,lady gaga,2017,"Electronic,Synth-Pop,Electro-Pop,Dance-Pop,Pop",1,3
141,blood.,kendrick lamar,2017,"Electro-Hop,Electro-Pop,Rap,Pop",1,1
142,careless whisper,wham!,2017,"Eighties,R&;B,Pop,Jazz",1,1
143,for whom the bell tolls,j. cole,2017,Rap,1,2
144,eraser,ed sheeran,2017,"UK,Rap,Pop",1,1
145,issues,meek mill,2017,Rap,1,1
146,sacrifices,big sean,2017,"Trap,Rap",1,1
147,boy,lee brice,2017,Country,1,1
148,call casting,migos,2017,"Trap,Rap",1,1
149,foldin clothes,j. cole,2017,"Neo Soul,Soul,Electro-Soul,Electro-Funk,Funk Rock,R&;B,Funk,Alternative,Alternative Rock,Lo-Fi,Rap",1,2
150,since way back,drake,2017,"R&;B,Canada,Rap",1,1
151,skepta interlude,drake,2017,"Grime,Trap,UK Rap,UK,Canada,Rap",1,1
152,1942 flows,meek mill,2017,Rap,1,1
153,love on the weekend,john mayer,2017,"Producer,Singer-Songwriter,Adult Alternative,Adult Contemporary,Blues Rock,Pop-Rock,Rock,Pop",1,2
154,barcelona,ed sheeran,2017,"UK,Pop",1,1
155,supermarket flowers,ed sheeran,2017,"UK,Pop",1,1
156,female,keith urban,2017,"Australia,Country",1,2
157,change,j. cole,2017,"Boom Bap,Rap",1,2
158,owe me,big sean,2017,Rap,1,1
159,bar at the end of the world,kenny chesney,2017,Country,1,1
160,numb,linkin park,2017,"Alternative Rock,Nu-Metal,Rock",1,3
161,perfect,ed sheeran,2018,"Adult Contemporary,Ballad,UK,Pop",40,2
162,god's plan,drake,2018,"Hip-Hop,Trap,Pop,Rap,Canada",36,1
163,delicate,taylor swift,2018,"Synth-Pop,New Wave,Tropical House,Electro-Pop,Electronic,Pop",35,1
164,girls like you,maroon 5,2018,"Pop-Rock,East Coast,Remix,Rap,Pop",30,2
165,nice for what,drake,2018,"Bounce,Rap,Canada,R&;B",25,1
166,wait,maroon 5,2018,"R&;B,Pop",23,2
167,nonstop,drake,2018,"Memes,Trap,Canada,Rap",22,1
168,walk it talk it,migos,2018,"Motown,Canada,Trap,Rap",22,1
169,in my feelings,drake,2018,"Bounce,Pop,Trap,Canada,R&;B,Rap",22,1
170,get along,kenny chesney,2018,Country,21,1
171,stir fry,migos,2018,"Motown,Trap,Rap",21,1
172,high hopes,panic! at the disco,2018,"Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",20,2
173,sit next to me,foster the people,2018,"Adult Contemporary,Neo-Psychedelia,Adult Alternative,Pop-Rock,Rock,Indie,Indie Pop,Indie Rock,Alternative Pop,Alternative,Alternative Rock,Pop",20,1
174,i lived it,blake shelton,2018,Country,18,1
175,most people are good,luke bryan,2018,Country,18,1
176,feel it still,portugal. the man,2018,"Adult Contemporary,Alternative Dance,Electronic Rock,Adult Alternative,Pop,Pop-Rock,Funk Rock,Electronic,Indie Rock,Alternative Pop,Alternative Rock,Indie Pop,Rock",18,2
177,five more minutes,scotty mccreery,2018,Country,17,2
178,say something,justin timberlake,2018,"Contemporary Folk,Experimental Folk,Experimental Pop,Electro-Pop,Americana,Pop,Country",16,1
179,"sunrise, sunburn, sunset",luke bryan,2018,Country,16,1
180,tell me you love me,demi lovato,2018,Pop,16,2
181,i'm upset,drake,2018,"Trap,Canada,Rap",16,1
182,narcos,migos,2018,"Motown,Trap,Rap",15,1
183,when we,tank,2018,R&;B,15,2
184,africa,weezer,2018,"Memes,Alternative,Synth Rock,Adult Contemporary,Cover,Power Pop,Pop-Rock,Adult Alternative,Alternative Rock,Rock",15,1
185,hangin' on,chris young,2018,Country,13,1
186,beautiful trauma,p!nk,2018,Pop,13,2
187,cry pretty,carrie underwood,2018,Country,12,1
188,sorry not sorry,demi lovato,2018,"R&;B,Pop",12,2
189,uproar,lil wayne,2018,Rap,12,2
190,kod,j. cole,2018,Rap,12,1
191,river,eminem,2018,"Rock,UK,Pop,Rap",12,1
192,"woman, amen",dierks bentley,2018,Country,12,1
193,don't go breaking my heart,backstreet boys,2018,"Power Pop,Synth-Pop,Electro,Electronic,Electro-Pop,Boy Band,Pop",10,1
194,for the first time,darius rucker,2018,Country,10,1
195,end game,taylor swift,2018,"R&;B,Synth-Pop,UK,Electronic,Rap,Pop",9,2
196,shape of you,ed sheeran,2018,"Tropical House,Dancehall,Pop,UK",9,2
197,burning man,dierks bentley,2018,Country,9,2
198,mob ties,drake,2018,"Trap,Canada,Rap",8,1
199,she's with me,high valley,2018,Country,8,1
200,coming home,keith urban,2018,"Alternative Country,Electro-Pop,Electronic,Pop,Country",7,1
201,barbie dreams,nicki minaj,2018,Rap,7,1
202,losing sleep,chris young,2018,Country,7,2
203,level up,ciara,2018,"Dance,Electronic,R&;B,Pop",6,1
204,all i want for christmas is you,mariah carey,2018,"East Coast,Christmas,R&;B,Pop",6,9
205,filthy,justin timberlake,2018,"Electro-Funk,Electronic,Funk,Pop",6,1
206,atm,j. cole,2018,"Conscious Hip-Hop,Trap,Rap",5,1
207,i'll name the dogs,blake shelton,2018,Country,5,2
208,what lovers do,maroon 5,2018,"Funk,R&;B,Pop",5,2
209,notice me,migos,2018,"East Coast,Motown,Trap,Rap",5,1
210,unforgettable,french montana,2018,"Dancehall,Rap",5,2
211,it's the most wonderful time of the year,andy williams,2018,"Christmas,Holiday,Pop",5,3
212,rockin' around the christmas tree,brenda lee,2018,"Christmas,Rock",5,6
213,female,keith urban,2018,"Australia,Country",5,2
214,the ringer,eminem,2018,"Beef,Rap",4,1
215,tempo,chris brown,2018,R&;B,4,1
216,jumpsuit,twenty one pilots,2018,"Pop,Post-Hardcore,Rock,Experimental,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop-Rock",4,1
217,jingle bell rock,bobby helms,2018,"Pop,Rockabilly,Christmas,Rock",4,4
218,...ready for it?,taylor swift,2018,"Electronic,Electro-Pop,Pop",4,2
219,fall,eminem,2018,Rap,4,1
220,emotionless,drake,2018,"Trap,Canada,Rap",4,1
221,self care,mac miller,2018,"R&;B,Neo Soul,Rap",3,1
222,blue tint,drake,2018,"Trap,Canada,Rap",3,1
223,that's what i like,bruno mars,2018,"Funk,R&;B,Pop",3,3
224,good form,nicki minaj,2018,"Remix,Rap",3,2
225,8 out of 10,drake,2018,"Canada,Rap",3,1
